#DIY Altimeter Experimental Data
#logged on SD card module through BMP 280 sensor

time_ms,pressure_hPa,altitude_m
0,1013.26,-0.05
22,1013.26,-0.08
41,1013.24,0.09
60,1011.64,13.38
77,1011.27,16.53
97,1010.67,21.49
117,1010.77,20.63
142,1010.65,21.64
160,1010.72,21.11
181,1010.51,22.82
197,1010.49,23.0
222,1010.4,23.78
241,1010.34,24.29
258,1010.29,24.66
278,1010.21,25.38
298,1010.18,25.58
318,1009.92,27.73
340,1009.97,27.37
359,1009.87,28.14
378,1009.58,30.58
400,1009.71,29.51
417,1009.62,30.31
438,1009.48,31.43
459,1009.29,33.06
479,1009.12,34.42
501,1008.97,35.7
518,1008.77,37.36
540,1009.0,35.46
560,1008.64,38.43
577,1008.61,38.74
600,1008.48,39.76
618,1008.36,40.78
637,1008.21,42.01
662,1007.86,45.01
682,1007.77,45.73
701,1007.71,46.25
718,1007.47,48.22
737,1007.55,47.57
761,1007.32,49.51
779,1007.23,50.2
797,1007.05,51.72
819,1006.8,53.81
837,1006.69,54.77
862,1006.48,56.55
878,1006.45,56.73
900,1006.16,59.23
918,1006.05,60.11
940,1005.86,61.73
960,1005.87,61.64
978,1005.58,64.06
1002,1005.52,64.57
1021,1005.3,66.39
1042,1005.09,68.13
1062,1004.97,69.14
1080,1004.86,70.07
1102,1004.65,71.89
1117,1004.71,71.37
1138,1004.32,74.58
1157,1004.29,74.89
1178,1004.08,76.61
1199,1004.01,77.18
1218,1003.83,78.7
1241,1003.74,79.51
1259,1003.62,80.5
1278,1003.45,81.93
1300,1003.32,82.99
1317,1003.21,83.94
1341,1003.07,85.12
1357,1002.97,85.93
1382,1002.85,86.93
1401,1002.69,88.31
1418,1002.59,89.14
1437,1002.51,89.81
1461,1002.36,91.06
1481,1002.28,91.74
1501,1002.12,93.09
1521,1002.01,94.04
1537,1001.93,94.67
1559,1001.78,95.9
1577,1001.71,96.5
1602,1001.56,97.8
1620,1001.49,98.34
1638,1001.38,99.34
1657,1001.28,100.13
1678,1001.16,101.16
1698,1001.07,101.94
1721,1000.95,102.94
1740,1000.83,103.93
1762,1000.75,104.62
1779,1000.68,105.15
1797,1000.52,106.51
1821,1000.42,107.41
1841,1000.37,107.76
1860,1000.24,108.88
1881,1000.16,109.54
1899,1000.06,110.42
1920,999.96,111.23
1939,999.88,111.9
1957,999.81,112.49
1977,999.71,113.31
1997,999.63,114.04
2020,999.52,114.96
2038,999.42,115.78
2060,999.34,116.47
2082,999.21,117.57
2098,999.12,118.33
2119,999.07,118.72
2141,998.96,119.67
2158,998.88,120.33
2177,998.8,121.03
2198,998.71,121.73
2217,998.62,122.53
2242,998.52,123.34
2261,998.48,123.71
2280,998.36,124.75
2302,998.27,125.5
2321,998.22,125.86
2338,998.14,126.55
2362,998.03,127.48
2380,997.98,127.91
2401,997.87,128.87
2422,997.76,129.75
2438,997.77,129.72
2457,997.71,130.21
2478,997.59,131.17
2499,997.5,131.93
2521,997.44,132.43
2542,997.33,133.35
2557,997.34,133.3
2580,997.21,134.37
2599,997.17,134.73
2618,997.06,135.69
2637,996.99,136.3
2659,996.97,136.42
2682,996.89,137.14
2698,996.8,137.87
2720,996.76,138.22
2741,996.68,138.86
2759,996.62,139.37
2782,996.59,139.66
2802,996.48,140.55
2818,996.45,140.85
2839,996.37,141.45
2858,996.27,142.3
2878,996.27,142.34
2897,996.17,143.21
2920,996.12,143.62
2940,996.06,144.11
2957,995.98,144.75
2978,995.93,145.22
3002,995.85,145.87
3018,995.8,146.34
3037,995.77,146.59
3059,995.71,147.09
3082,995.65,147.58
3098,995.6,148.01
3121,995.45,149.23
3141,995.43,149.42
3158,995.44,149.36
3181,995.37,149.92
3199,995.28,150.67
3220,995.22,151.19
3240,995.17,151.65
3260,995.13,151.96
3277,995.08,152.38
3302,995.0,153.03
3318,994.97,153.36
3338,994.96,153.36
3357,994.87,154.14
3380,994.83,154.54
3401,994.75,155.17
3417,994.65,156.01
3440,994.65,156.01
3458,994.62,156.26
3480,994.54,156.95
3498,994.51,157.22
3521,994.46,157.66
3539,994.41,158.04
3562,994.33,158.75
3577,994.36,158.47
3599,994.28,159.16
3617,994.27,159.25
3642,994.18,159.96
3662,994.17,160.05
3678,994.13,160.43
3700,994.08,160.85
3721,994.01,161.42
3740,993.98,161.72
3760,993.98,161.66
3778,993.92,162.19
3797,993.9,162.37
3822,993.86,162.67
3842,993.8,163.18
3860,993.77,163.46
3879,993.68,164.25
3899,993.68,164.21
3921,993.68,164.23
3942,993.62,164.7
3962,993.55,165.3
3981,993.49,165.79
4000,993.54,165.43
4017,993.51,165.62
4037,993.4,166.61
4062,993.39,166.71
4080,993.38,166.75
4097,993.32,167.25
4117,993.35,166.98
4140,993.26,167.8
4157,993.22,168.09
4177,993.17,168.5
4200,993.18,168.47
