# Simulation 1 (Up to date),
# 615 data points written for 2 variables.,
#,
Time (s),Altitude (m)
0,0
0.01,0
0.02,0
0.023,1.992e-5
0.027,1.214e-4
0.034,6.104e-4
0.044,0.003
0.054,0.007
0.057,0.009
0.061,0.012
0.067,0.019
0.077,0.032
0.089,0.059
0.099,0.091
0.109,0.132
0.116,0.168
0.126,0.231
0.136,0.308
0.148,0.424
0.157,0.532
0.165,0.639
0.171,0.722
0.177,0.827
0.183,0.931
0.191,1.077
0.195,1.166
0.2,1.266
0.204,1.355
0.209,1.47
0.213,1.563
0.217,1.659
0.221,1.757
0.225,1.859
0.23,2.002
0.234,2.118
0.239,2.243
0.244,2.381
0.249,2.539
0.255,2.717
0.263,2.973
0.276,3.371
0.295,4.001
0.3,4.176
0.305,4.366
0.309,4.498
0.312,4.622
0.315,4.74
0.318,4.854
0.321,4.965
0.324,5.074
0.327,5.181
0.33,5.288
0.333,5.394
0.336,5.5
0.338,5.608
0.341,5.717
0.344,5.828
0.347,5.942
0.35,6.06
0.353,6.183
0.356,6.314
0.36,6.453
0.363,6.604
0.368,6.774
0.372,6.974
0.375,7.085
0.379,7.252
0.385,7.504
0.394,7.889
0.407,8.479
0.412,8.688
0.416,8.864
0.419,9.021
0.422,9.167
0.425,9.305
0.428,9.438
0.431,9.567
0.434,9.695
0.437,9.821
0.439,9.948
0.442,10.076
0.445,10.205
0.447,10.339
0.45,10.477
0.453,10.623
0.457,10.778
0.46,10.947
0.464,11.137
0.468,11.361
0.474,11.656
0.477,11.786
0.481,11.983
0.487,12.281
0.496,12.733
0.501,13.023
0.505,13.241
0.509,13.426
0.512,13.595
0.515,13.752
0.518,13.903
0.521,14.049
0.523,14.193
0.526,14.337
0.529,14.481
0.531,14.628
0.534,14.78
0.537,14.938
0.54,15.106
0.543,15.29
0.547,15.496
0.552,15.743
0.558,16.08
0.567,16.591
0.58,17.365
0.584,17.575
0.587,17.761
0.59,17.933
0.592,18.096
0.595,18.254
0.598,18.409
0.6,18.564
0.603,18.721
0.606,18.885
0.609,19.06
0.612,19.251
0.615,19.467
0.62,19.728
0.626,20.09
0.634,20.639
0.646,21.395
0.65,21.639
0.654,21.851
0.657,22.048
0.66,22.237
0.663,22.422
0.665,22.607
0.668,22.795
0.671,22.965
0.674,23.172
0.678,23.399
0.682,23.661
0.687,23.991
0.694,24.49
0.705,25.246
0.711,25.638
0.715,25.919
0.719,26.164
0.722,26.393
0.726,26.613
0.729,26.833
0.732,27.059
0.736,27.298
0.739,27.559
0.746,28.027
0.753,28.523
0.764,29.273
0.773,29.974
0.778,30.33
0.783,30.641
0.786,30.88
0.79,31.179
0.794,31.494
0.799,31.848
0.802,32.049
0.806,32.351
0.812,32.805
0.822,33.487
0.825,33.746
0.83,34.134
0.836,34.563
0.841,34.934
0.846,35.295
0.851,35.674
0.857,36.116
0.86,36.331
0.864,36.654
0.871,37.137
0.881,37.859
0.889,38.43
0.895,38.861
0.9,39.27
0.906,39.697
0.913,40.215
0.924,40.989
0.94,42.143
0.948,42.72
0.955,43.207
0.962,43.712
0.971,44.325
0.984,45.241
1.004,46.605
1.012,47.193
1.02,47.722
1.028,48.303
1.04,49.108
1.057,50.309
1.069,51.086
1.077,51.622
1.084,52.146
1.093,52.753
1.107,53.661
1.127,55.013
1.138,55.749
1.149,56.426
1.161,57.263
1.18,58.51
1.204,60.066
1.219,60.998
1.241,62.386
1.268,64.101
1.308,66.641
1.348,69.108
1.391,71.71
1.441,74.693
1.491,77.62
1.541,80.495
1.591,83.317
1.631,85.507
1.681,88.238
1.731,90.919
1.781,93.552
1.797,94.426
1.813,95.23
1.836,96.429
1.852,97.214
1.864,97.814
1.879,98.609
1.903,99.792
1.927,100.983
1.954,102.298
1.994,104.246
2.044,106.637
2.094,108.983
2.144,111.287
2.193,113.526
2.238,115.516
2.288,117.699
2.338,119.842
2.388,121.945
2.438,124.009
2.488,126.034
2.538,128.021
2.588,129.97
2.638,131.882
2.688,133.757
2.738,135.596
2.788,137.399
2.82,138.534
2.868,140.209
2.886,140.848
2.913,141.754
2.953,143.095
2.973,143.757
3.003,144.739
3.047,146.191
3.097,147.782
3.147,149.34
3.197,150.866
3.247,152.359
3.297,153.82
3.333,154.839
3.383,156.246
3.432,157.595
3.482,158.942
3.532,160.258
3.582,161.543
3.632,162.799
3.682,164.025
3.732,165.221
3.782,166.388
3.832,167.527
3.882,168.636
3.932,169.717
3.98,170.741
4.03,171.766
4.08,172.763
4.123,173.589
4.169,174.457
4.219,175.378
4.269,176.272
4.319,177.138
4.369,177.978
4.419,178.791
4.457,179.395
4.497,180.004
4.547,180.749
4.597,181.467
4.635,182.006
4.685,182.678
4.735,183.324
4.785,183.944
4.829,184.466
4.871,184.942
4.921,185.492
4.971,186.017
5.021,186.516
5.071,186.99
5.109,187.341
5.139,187.602
5.17,187.86
5.203,188.128
5.241,188.417
5.277,188.685
5.327,189.031
5.377,189.353
5.427,189.649
5.477,189.921
5.527,190.168
5.577,190.391
5.627,190.589
5.677,190.762
5.727,190.911
5.777,191.036
5.827,191.136
5.877,191.213
5.927,191.266
5.977,191.295
6.027,191.3
6.077,191.282
6.173,191.186
6.294,190.965
6.456,190.535
6.671,189.83
6.855,189.175
7.039,188.521
7.223,187.868
7.406,187.215
7.588,186.561
7.771,185.909
7.954,185.256
8.136,184.604
8.319,183.951
8.502,183.298
8.684,182.646
8.867,181.993
9.049,181.341
9.232,180.688
9.415,180.036
9.597,179.384
9.78,178.731
9.962,178.079
10.145,177.427
10.327,176.775
10.51,176.123
10.692,175.47
10.875,174.818
11.057,174.166
11.24,173.514
11.422,172.863
11.605,172.211
11.787,171.559
11.97,170.907
12.152,170.255
12.335,169.604
12.517,168.952
12.7,168.3
12.882,167.649
13.065,166.997
13.247,166.346
13.43,165.694
13.612,165.043
13.795,164.391
13.977,163.74
14.16,163.088
14.342,162.437
14.524,161.786
14.707,161.135
14.889,160.484
15.071,159.833
15.254,159.182
15.436,158.531
15.619,157.879
15.801,157.229
15.983,156.578
16.166,155.927
16.348,155.276
16.53,154.625
16.713,153.974
16.895,153.324
17.077,152.673
17.26,152.022
17.442,151.372
17.624,150.722
17.807,150.071
17.989,149.42
18.172,148.77
18.354,148.119
18.536,147.469
18.718,146.819
18.901,146.169
19.083,145.518
19.266,144.868
19.448,144.218
19.63,143.568
19.812,142.918
19.994,142.268
20.177,141.618
20.359,140.968
20.541,140.318
20.723,139.668
20.905,139.018
21.088,138.368
21.27,137.719
21.452,137.069
21.634,136.419
21.816,135.77
21.998,135.12
22.181,134.471
22.363,133.821
22.545,133.172
22.727,132.522
22.909,131.873
23.092,131.223
23.274,130.574
23.456,129.925
23.638,129.276
23.821,128.626
24.003,127.978
24.185,127.329
24.368,126.679
24.55,126.03
24.732,125.381
24.914,124.732
25.097,124.083
25.279,123.434
25.461,122.786
25.643,122.137
25.825,121.488
26.007,120.839
26.189,120.191
26.371,119.542
26.553,118.893
26.735,118.245
26.917,117.596
27.099,116.948
27.281,116.299
27.463,115.651
27.645,115.003
27.827,114.354
28.009,113.706
28.191,113.058
28.373,112.41
28.555,111.762
28.737,111.113
28.919,110.465
29.101,109.817
29.283,109.169
29.465,108.521
29.647,107.873
29.828,107.226
30.01,106.578
30.192,105.93
30.374,105.282
30.556,104.634
30.738,103.987
30.92,103.339
31.102,102.692
31.284,102.044
31.466,101.397
31.648,100.749
31.829,100.102
